date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/5/2021,kevinlegend,TRUE,TRUE,,TRUE,,evening raid
5/5/2021,Deity,TRUE,,,TRUE,,
5/5/2021,Matrix,TRUE,,,TRUE,,
5/5/2021,salathyne,TRUE,,,TRUE,,
5/5/2021,North Star,TRUE,,,TRUE,TRUE,did the honors of grabbing Bergaria
5/5/2021,Rich,,,,TRUE,,
5/5/2021,Ivory,TRUE,,,TRUE,,
5/5/2021,Connwaer,TRUE,,,TRUE,,
5/5/2021,Rokugan,TRUE,,TRUE,,,
5/5/2021,Timelaps,TRUE,,TRUE,TRUE,,
5/5/2021,L84RCALL,,TRUE,TRUE,TRUE,,summon
5/5/2021,Chrysa,TRUE,TRUE,,TRUE,,afternoon raid
5/5/2021,Robert1307,TRUE,,,TRUE,,
5/5/2021,sxmcs,TRUE,,,TRUE,,
5/5/2021,Zalyx,TRUE,,,TRUE,,
5/5/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
5/5/2021,crazydwerg,,,TRUE,,,
5/5/2021,ZenReaper,,,,,,
5/5/2021,SwordLogic,TRUE,,,TRUE,,
5/5/2021,Dragaton9,TRUE,,,TRUE,,
5/5/2021,da hoff,,,TRUE,,,
5/5/2021,Kaen,,TRUE,TRUE,TRUE,,evening raid
5/5/2021,Azule,TRUE,TRUE,,TRUE,,go go baby whale summons 人◕ ‿‿ ◕人
5/5/2021,Ye Xiu,TRUE,,,TRUE,,
5/5/2021,Ric,TRUE,,,TRUE,,
5/5/2021,Cloud,TRUE,,,TRUE,,
5/5/2021,Cloud,TRUE,,,TRUE,,
5/5/2021,zebar,,,TRUE,,,
5/5/2021,Cat,TRUE,,,TRUE,,
5/5/2021,Ceadus,TRUE,,,TRUE,,
5/5/2021,Aria,TRUE,,,TRUE,,
5/5/2021,Tkm,TRUE,,TRUE,TRUE,,
5/5/2021,Gabriel,,,TRUE,TRUE,,
5/5/2021,Theodin,,,,,,
5/5/2021,Dorn,TRUE,,,TRUE,,
5/5/2021,Yea5h2,,,TRUE,,,
5/5/2021,Josh,,,TRUE,,,
5/5/2021,Doug,TRUE,,,TRUE,,
5/5/2021,Satanael,TRUE,,,TRUE,,
5/5/2021,Medix,,,,TRUE,,
5/5/2021,Xerox,,,,,,
5/5/2021,Kira,,,,,,
5/5/2021,john,,,,,,
5/5/2021,Manchurian,,,TRUE,,,placed units in Trento & Ceva
5/5/2021,Suprize,,,TRUE,,,placed all units in Ceva
5/5/2021,Arturo,,,,,,
5/5/2021,Andrés,TRUE,,TRUE,TRUE,,we like new people who read the notices :D
5/5/2021,Dead,TRUE,,,TRUE,,
5/5/2021,bumbm92,,,,,,
5/5/2021,Livedlime,TRUE,TRUE,,,,afternoon raid; new
