date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/27/2021,kevinlegend,TRUE,TRUE,,,TRUE,evening raid
4/27/2021,Deity,TRUE,,,,TRUE,
4/27/2021,Matrix,TRUE,,,TRUE,TRUE,
4/27/2021,salathyne,TRUE,,,,TRUE,
4/27/2021,North Star,TRUE,,,,TRUE,
4/27/2021,Rich,TRUE,,,,TRUE,
4/27/2021,Ivory,TRUE,,TRUE,,,
4/27/2021,Connwaer,,,TRUE,,,
4/27/2021,Rokugan,TRUE,,,,TRUE,
4/27/2021,Timelaps,,,,,,
4/27/2021,L84RCALL,TRUE,,,,TRUE,
4/27/2021,Chrysa,TRUE,,,,TRUE,
4/27/2021,Robert1307,TRUE,TRUE,,TRUE,TRUE,afternoon SS claim
4/27/2021,sxmcs,TRUE,,,TRUE,TRUE,
4/27/2021,Zalyx,TRUE,,,,TRUE,
4/27/2021,Gandolf,TRUE,TRUE,,TRUE,,"SS claim, afternoon and evening raids"
4/27/2021,crazydwerg,,,TRUE,,,
4/27/2021,ZenReaper,,,TRUE,,,
4/27/2021,SwordLogic,TRUE,,TRUE,,TRUE,
4/27/2021,Dragaton9,TRUE,,,TRUE,,
4/27/2021,da hoff,,,TRUE,,,
4/27/2021,Kaen,TRUE,,,,TRUE,
4/27/2021,Azule,TRUE,,,TRUE,TRUE,
4/27/2021,Ye Xiu,,,TRUE,,,
4/27/2021,Ric,TRUE,,,,TRUE,
4/27/2021,Cloud,TRUE,,TRUE,,TRUE,
4/27/2021,Cloud,,,,,,
4/27/2021,zebar,,,TRUE,,,
4/27/2021,Cat,TRUE,,TRUE,,TRUE,
4/27/2021,Ceadus,TRUE,,,TRUE,TRUE,
4/27/2021,Aria,,,,,,
4/27/2021,Tkm,TRUE,,,,,
4/27/2021,Gabriel,,,,,TRUE,
4/27/2021,Theodin,TRUE,,TRUE,,,
4/27/2021,Dorn,,,TRUE,,,
4/27/2021,Yea5h2,,,,,,
4/27/2021,Josh,,,,,,
4/27/2021,Josiah,,,,,,
4/27/2021,Doug,TRUE,,,TRUE,,
4/27/2021,Satanael,TRUE,,TRUE,,,
4/27/2021,Medix,,,,,,
4/27/2021,Xerox,,,,,,
4/27/2021,Kira,,,TRUE,,,
4/27/2021,AltF4Ninja,,,,,,
4/27/2021,Swanagan,,,,,,
4/27/2021,john,,,TRUE,,TRUE,
