date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/20/2021,kevinlegend,TRUE,,,,TRUE,
5/20/2021,Deity,TRUE,,,,TRUE,
5/20/2021,Matrix,TRUE,,,,TRUE,
5/20/2021,salathyne,TRUE,,,,TRUE,
5/20/2021,North Star,TRUE,,,,TRUE,
5/20/2021,Rich,,,,,TRUE,
5/20/2021,Ivory,TRUE,,,,TRUE,
5/20/2021,Connwaer,TRUE,,,,TRUE,
5/20/2021,Rokugan,TRUE,,,,TRUE,
5/20/2021,Timelaps,TRUE,,,,TRUE,
5/20/2021,L84RCALL,TRUE,,,,TRUE,
5/20/2021,Chrysa,TRUE,,,,TRUE,added fodder to Cadis
5/20/2021,Robert1307,TRUE,,,,,
5/20/2021,sxmcs,TRUE,,,,TRUE,
5/20/2021,Zalyx,TRUE,,,,TRUE,
5/20/2021,Gandolf,,TRUE,,,,afternoon and evening raids
5/20/2021,crazydwerg,,,,,,
5/20/2021,ZenReaper,,,,,,
5/20/2021,SwordLogic,TRUE,,,,TRUE,
5/20/2021,Dragaton9,TRUE,,,,TRUE,
5/20/2021,da hoff,TRUE,,,,TRUE,
5/20/2021,Kaen,TRUE,,,,,
5/20/2021,Azule,TRUE,,,,TRUE,
5/20/2021,Ye Xiu,TRUE,,,,,
5/20/2021,Ric,TRUE,,,,TRUE,
5/20/2021,Cloud,TRUE,,,,TRUE,
5/20/2021,zebar,TRUE,,,,TRUE,
5/20/2021,Cat,TRUE,,,,TRUE,
5/20/2021,Ceadus,TRUE,,,,TRUE,
5/20/2021,Aria,TRUE,,,,TRUE,
5/20/2021,Tkm,TRUE,,,,TRUE,
5/20/2021,Gabriel,,,,,,
5/20/2021,Theodin,,TRUE,,,,afternoon raid
5/20/2021,Dorn,,,,,,
5/20/2021,Yea5h2,,,,,,
5/20/2021,Josh,TRUE,,,,TRUE,
5/20/2021,Doug,TRUE,,,,TRUE,placed 1 platoon under 5M at Cadis
5/20/2021,Satanael,,,,,,
5/20/2021,Manchurian,TRUE,,,,TRUE,added fodder to Cadis late
5/20/2021,Suprize,,,,,,
5/20/2021,Arturo,,,,,,
5/20/2021,Andrés,TRUE,,,,TRUE,
5/20/2021,Dead,TRUE,,,,TRUE,
5/20/2021,bumbm92,TRUE,,,,TRUE,added fodder to Cadis late
5/20/2021,Livedlime,TRUE,,,,,
5/20/2021,John,,,,,,
5/20/2021,Elliot,,,,,,
5/20/2021,Ovi,,TRUE,,,,summon
5/20/2021,PharaohV,TRUE,,,,,
5/20/2021,HanziChars,,,,,,
