date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/14/2021,kevinlegend,TRUE,,,TRUE,TRUE,
5/14/2021,Deity,TRUE,,,,,
5/14/2021,Matrix,TRUE,,,,TRUE,
5/14/2021,salathyne,TRUE,,,TRUE,,
5/14/2021,North Star,TRUE,,,TRUE,TRUE,
5/14/2021,Rich,,,,TRUE,,
5/14/2021,Ivory,TRUE,,,TRUE,,
5/14/2021,Connwaer,TRUE,,,TRUE,TRUE,
5/14/2021,Rokugan,TRUE,,,TRUE,,
5/14/2021,Timelaps,TRUE,TRUE,,,,evening raid
5/14/2021,L84RCALL,TRUE,,,TRUE,TRUE,
5/14/2021,Chrysa,TRUE,TRUE,,TRUE,,summon; added some D to Ceva
5/14/2021,Robert1307,,,,,,
5/14/2021,sxmcs,,,,TRUE,,
5/14/2021,Zalyx,TRUE,,,TRUE,,
5/14/2021,Gandolf,,TRUE,TRUE,,,"evening raid, summon"
5/14/2021,crazydwerg,,,,,,
5/14/2021,ZenReaper,,,TRUE,,,
5/14/2021,SwordLogic,TRUE,,,,,
5/14/2021,Dragaton9,TRUE,,,TRUE,,
5/14/2021,da hoff,,,TRUE,,,
5/14/2021,Kaen,TRUE,TRUE,,TRUE,,evening raid
5/14/2021,Azule,TRUE,,,TRUE,,
5/14/2021,Ye Xiu,,,TRUE,,,
5/14/2021,Ric,,,,,,
5/14/2021,Cloud,TRUE,,TRUE,,,
5/14/2021,zebar,,,TRUE,,,
5/14/2021,Cat,TRUE,,,TRUE,TRUE,
5/14/2021,Ceadus,TRUE,,,TRUE,,added to Ostra when rogue Nordic attacked
5/14/2021,Aria,TRUE,,,,,
5/14/2021,Tkm,TRUE,,,TRUE,TRUE,
5/14/2021,Gabriel,,,,TRUE,TRUE,
5/14/2021,Theodin,,,,,,
5/14/2021,Dorn,,,TRUE,,,
5/14/2021,Yea5h2,,,,,,
5/14/2021,Josh,,,,TRUE,,
5/14/2021,Doug,TRUE,,,TRUE,,"added to Ostra, but a while after the attack"
5/14/2021,Satanael,TRUE,,,,,
5/14/2021,Kira,,,TRUE,,,
5/14/2021,Manchurian,TRUE,,,TRUE,,
5/14/2021,Suprize,,,,,,
5/14/2021,Arturo,,,,,,
5/14/2021,Andrés,TRUE,,,TRUE,,
5/14/2021,Dead,TRUE,,,TRUE,,
5/14/2021,bumbm92,TRUE,,,TRUE,,
5/14/2021,Livedlime,TRUE,TRUE,,TRUE,,evening raid
5/14/2021,John,TRUE,,,TRUE,,
5/14/2021,Elliot,,,TRUE,,,
5/14/2021,Ovi,,,,,,new
