date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/10/2021,kevinlegend,TRUE,,,TRUE,TRUE,
4/10/2021,Deity,TRUE,,,TRUE,TRUE,
4/10/2021,Matrix,TRUE,,,TRUE,,
4/10/2021,salathyne,TRUE,,,TRUE,TRUE,
4/10/2021,North Star,TRUE,,,TRUE,TRUE,
4/10/2021,Rich,TRUE,,,TRUE,TRUE,
4/10/2021,Ivory,TRUE,,,TRUE,TRUE,
4/10/2021,Connwaer,TRUE,,,TRUE,TRUE,
4/10/2021,Cesar,,,,,,
4/10/2021,Rokugan,TRUE,,,TRUE,TRUE,
4/10/2021,Kalem,,,,,,
4/10/2021,Timelaps,TRUE,,,TRUE,TRUE,
4/10/2021,Revanent,TRUE,,,,,
4/10/2021,L84RCALL,,,,,,
4/10/2021,Chrysa,TRUE,,,TRUE,TRUE,
4/10/2021,Robert1307,,,,,,
4/10/2021,sxmcs,,,,,TRUE,
4/10/2021,Zalyx,TRUE,,,,TRUE,
4/10/2021,Gandolf,,,,,,
4/10/2021,VSarig2002,,,,,,
4/10/2021,crazydwerg,,,,,,
4/10/2021,ZenReaper,,,,,,
4/10/2021,SwordLogic,TRUE,,,,TRUE,
4/10/2021,Dragaton9,TRUE,,TRUE,TRUE,,
4/10/2021,da hoff,,,,,,
4/10/2021,Kaen,TRUE,,,,TRUE,
4/10/2021,Azule,,,,,,
4/10/2021,Ye Xiu,,,,,,
4/10/2021,Ric,TRUE,,,TRUE,,
4/10/2021,Cloud,TRUE,,TRUE,,,
4/10/2021,Cloud,TRUE,,,TRUE,,
4/10/2021,zebar,TRUE,,,,,
4/10/2021,Cat,TRUE,,,,TRUE,
4/10/2021,Ceadus,TRUE,,,TRUE,,
4/10/2021,Aria,,,,,,
4/10/2021,Tkm,,,,,,
4/10/2021,Gabriel,,,TRUE,,,
4/10/2021,Theodin,,,,,,
4/10/2021,Dorn,TRUE,,TRUE,,TRUE,
4/10/2021,Logan,TRUE,TRUE,TRUE,,,
4/10/2021,Euphoria,,,,,,
4/10/2021,Yea5h2,TRUE,TRUE,,,,
4/10/2021,Josh,TRUE,,,,,
4/10/2021,Josiah,,,,,,
4/10/2021,Shadow,,,TRUE,,,
4/10/2021,Satanael,,,,TRUE,TRUE,
4/10/2021,SHLIB,,,,,,
