date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/15/2021,kevinlegend,TRUE,,,,TRUE,
4/15/2021,Deity,TRUE,,,,TRUE,
4/15/2021,Matrix,TRUE,,,,TRUE,
4/15/2021,salathyne,TRUE,,,,TRUE,
4/15/2021,North Star,TRUE,,,TRUE,TRUE,
4/15/2021,Rich,TRUE,,,,TRUE,
4/15/2021,Ivory,,,,TRUE,,
4/15/2021,Connwaer,TRUE,,,,TRUE,
4/15/2021,Cesar,,,,,,
4/15/2021,Rokugan,TRUE,,TRUE,,,
4/15/2021,Timelaps,TRUE,TRUE,,,TRUE,
4/15/2021,L84RCALL,TRUE,TRUE,,,,
4/15/2021,Chrysa,,,,,,
4/15/2021,Robert1307,TRUE,TRUE,,TRUE,,
4/15/2021,sxmcs,TRUE,,,TRUE,TRUE,
4/15/2021,Zalyx,TRUE,,,TRUE,TRUE,
4/15/2021,Gandolf,TRUE,TRUE,TRUE,,,
4/15/2021,VSarig2002,,,,,,
4/15/2021,crazydwerg,,,TRUE,,,
4/15/2021,ZenReaper,TRUE,,TRUE,,,claimed right after war
4/15/2021,SwordLogic,TRUE,,,TRUE,TRUE,
4/15/2021,Dragaton9,TRUE,,,TRUE,TRUE,
4/15/2021,da hoff,,,TRUE,,,
4/15/2021,Kaen,TRUE,TRUE,,,TRUE,
4/15/2021,Azule,TRUE,,,TRUE,TRUE,
4/15/2021,Ye Xiu,,,,,,
4/15/2021,Ric,,,,,TRUE,
4/15/2021,Cloud,,TRUE,TRUE,,,
4/15/2021,Cloud,,,,,,
4/15/2021,zebar,TRUE,,,,TRUE,
4/15/2021,Cat,TRUE,,,TRUE,TRUE,
4/15/2021,Ceadus,TRUE,,,TRUE,,
4/15/2021,Aria,TRUE,,,TRUE,,
4/15/2021,Tkm,TRUE,,TRUE,,,
4/15/2021,Gabriel,,,TRUE,,,
4/15/2021,Theodin,,,TRUE,,,
4/15/2021,Dorn,TRUE,,,TRUE,TRUE,
4/15/2021,Logan,,,,,,
4/15/2021,Euphoria,,TRUE,TRUE,,,
4/15/2021,Yea5h2,,,TRUE,,,placed D in Mullion
4/15/2021,Josh,TRUE,,,,,claimed right after war
4/15/2021,Josiah,TRUE,,,TRUE,,
4/15/2021,Doug,TRUE,,,TRUE,TRUE,
4/15/2021,Satanael,,,,,TRUE,
4/15/2021,SHLIB,TRUE,,,,,
4/15/2021,J,TRUE,,TRUE,,,
4/15/2021,Medix,,,TRUE,,TRUE,placed D in Mullion & Karson
4/15/2021,Xerox,,,TRUE,,,placed D in Mullion & Karson
