date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
6/8/2021,kevinlegend,TRUE,,,TRUE,TRUE,
6/8/2021,Deity,TRUE,,TRUE,TRUE,TRUE,
6/8/2021,Matrix,TRUE,,TRUE,TRUE,TRUE,
6/8/2021,salathyne,TRUE,,TRUE,TRUE,,
6/8/2021,North Star,TRUE,,,TRUE,,
6/8/2021,Rich,TRUE,,,TRUE,,
6/8/2021,Ivory,TRUE,,,TRUE,TRUE,
6/8/2021,Connwaer,TRUE,,,TRUE,TRUE,
6/8/2021,Rokugan,TRUE,,,TRUE,TRUE,
6/8/2021,Timelaps,TRUE,,,TRUE,,
6/8/2021,L84RCALL,,,,TRUE,TRUE,
6/8/2021,Chrysa,TRUE,,,TRUE,,
6/8/2021,Zalyx,TRUE,,,TRUE,TRUE,
6/8/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
6/8/2021,crazydwerg,,,TRUE,,,
6/8/2021,ZenReaper,,,,,,
6/8/2021,SwordLogic,,TRUE,,,,evening raid
6/8/2021,Dragaton9,TRUE,,,TRUE,,
6/8/2021,da hoff,TRUE,,,,,
6/8/2021,Kaen,,,,,,
6/8/2021,Azule,TRUE,,,TRUE,TRUE,
6/8/2021,Ye Xiu,,,TRUE,,,
6/8/2021,Ric,,,,TRUE,,
6/8/2021,Cloud,TRUE,,,TRUE,TRUE,
6/8/2021,zebar,,,TRUE,,,
6/8/2021,Cat,TRUE,,,TRUE,TRUE,
6/8/2021,Ceadus,TRUE,,,TRUE,,
6/8/2021,Aria,TRUE,,,TRUE,TRUE,added 2 platoons while 8 in queue (2x)
6/8/2021,Tkm,TRUE,,TRUE,,,
6/8/2021,Gabriel,,,,TRUE,TRUE,
6/8/2021,Theodin,,,,,,
6/8/2021,Dorn,TRUE,,,TRUE,TRUE,added 2 platoons while 9 in queue
6/8/2021,Doug,TRUE,,,TRUE,TRUE,
6/8/2021,Satanael,,,TRUE,,,
6/8/2021,Manchurian,TRUE,TRUE,,TRUE,TRUE,added power platoon while one was early working
6/8/2021,Andrés,,,,TRUE,,
6/8/2021,Dead,TRUE,,,TRUE,,
6/8/2021,bumbm92,TRUE,,,,,
6/8/2021,Livedlime,TRUE,TRUE,,TRUE,TRUE,afternoon raid
6/8/2021,Elliot,TRUE,,,,,
6/8/2021,Dionzzz,TRUE,,TRUE,,,
6/8/2021,mcpooper,,,,,,
6/8/2021,LttheSHD,TRUE,,TRUE,,,
6/8/2021,Max,TRUE,,,TRUE,TRUE,
