date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/30/2021,kevinlegend,TRUE,,,,TRUE,
4/30/2021,Deity,TRUE,,,,TRUE,
4/30/2021,Matrix,TRUE,,,,TRUE,
4/30/2021,salathyne,TRUE,,,,TRUE,
4/30/2021,North Star,TRUE,TRUE,,TRUE,TRUE,Super Summon Streak :o
4/30/2021,Rich,TRUE,,,,TRUE,
4/30/2021,Ivory,TRUE,,,,TRUE,
4/30/2021,Connwaer,TRUE,,,,TRUE,
4/30/2021,Rokugan,TRUE,,,,TRUE,
4/30/2021,Timelaps,TRUE,,,,TRUE,
4/30/2021,L84RCALL,TRUE,,,,TRUE,
4/30/2021,Chrysa,TRUE,,,,TRUE,
4/30/2021,Robert1307,,,,,,
4/30/2021,sxmcs,TRUE,,,,TRUE,
4/30/2021,Zalyx,TRUE,,,TRUE,TRUE,
4/30/2021,Gandolf,TRUE,TRUE,,,,afternoon and evening raids
4/30/2021,crazydwerg,,,,,,
4/30/2021,ZenReaper,TRUE,,,,TRUE,
4/30/2021,SwordLogic,TRUE,,,,,
4/30/2021,Dragaton9,TRUE,,,,,
4/30/2021,da hoff,,,,,,
4/30/2021,Kaen,TRUE,TRUE,,,TRUE,afternoon raid
4/30/2021,Azule,TRUE,,,,TRUE,
4/30/2021,Ye Xiu,,,,,,
4/30/2021,Ric,,,,,,
4/30/2021,Cloud,TRUE,,,,,
4/30/2021,Cloud,,,,,,
4/30/2021,zebar,TRUE,,,,TRUE,
4/30/2021,Cat,TRUE,,,,TRUE,
4/30/2021,Ceadus,TRUE,,,,,
4/30/2021,Aria,TRUE,,,,TRUE,
4/30/2021,Tkm,,,,,,
4/30/2021,Gabriel,,,,,,
4/30/2021,Theodin,,,,,,
4/30/2021,Dorn,,,,,,
4/30/2021,Yea5h2,TRUE,,,TRUE,,
4/30/2021,Josh,TRUE,,,,,
4/30/2021,Josiah,,,,,,
4/30/2021,Doug,TRUE,,,,TRUE,
4/30/2021,Satanael,TRUE,,,,TRUE,
4/30/2021,Medix,,,,,,
4/30/2021,Xerox,,TRUE,,,,"summons, plural! :o"
4/30/2021,Kira,,,,,,
4/30/2021,Swanagan,,,,,,
4/30/2021,john,,TRUE,,,,"summons, plural! :o"
