date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/12/2021,kevinlegend,TRUE,,,TRUE,,
4/12/2021,Deity,TRUE,,,TRUE,,
4/12/2021,Matrix,TRUE,,,TRUE,,
4/12/2021,salathyne,TRUE,,,TRUE,,
4/12/2021,North Star,,,TRUE,TRUE,,strategy switch from Karson to Mullion
4/12/2021,Rich,,,,TRUE,,
4/12/2021,Ivory,,,TRUE,TRUE,,
4/12/2021,Connwaer,TRUE,,,TRUE,,
4/12/2021,Cesar,TRUE,,,,,claimed right after war
4/12/2021,Rokugan,,,TRUE,TRUE,,
4/12/2021,Kalem,,,,,,
4/12/2021,Timelaps,,,,TRUE,,
4/12/2021,Revanent,,,TRUE,,,
4/12/2021,L84RCALL,TRUE,,TRUE,TRUE,,
4/12/2021,Chrysa,,,,,,
4/12/2021,Robert1307,,,,,,
4/12/2021,sxmcs,,,,,,
4/12/2021,Zalyx,TRUE,,,TRUE,,
4/12/2021,Gandolf,,TRUE,,,,afternoon raid
4/12/2021,VSarig2002,,TRUE,,,,afternoon raid
4/12/2021,crazydwerg,,,TRUE,,,
4/12/2021,ZenReaper,,,TRUE,,,
4/12/2021,SwordLogic,TRUE,,TRUE,,,
4/12/2021,Dragaton9,TRUE,,TRUE,TRUE,,
4/12/2021,da hoff,,,,,,
4/12/2021,Kaen,TRUE,,,TRUE,,
4/12/2021,Azule,TRUE,,,TRUE,,
4/12/2021,Ye Xiu,,TRUE,TRUE,,,claimed SS
4/12/2021,Ric,,,,TRUE,,
4/12/2021,Cloud,,,TRUE,,,
4/12/2021,Cloud,,,,,,
4/12/2021,zebar,,,,,,
4/12/2021,Cat,TRUE,,,TRUE,,
4/12/2021,Ceadus,,,,TRUE,,
4/12/2021,Aria,,,,,,
4/12/2021,Tkm,,,,TRUE,,
4/12/2021,Gabriel,,,,,,
4/12/2021,Theodin,TRUE,,,TRUE,,
4/12/2021,Dorn,TRUE,,,TRUE,,
4/12/2021,Logan,,,TRUE,,,
4/12/2021,Euphoria,,,,,,
4/12/2021,Yea5h2,TRUE,,TRUE,,,
4/12/2021,Josh,,,TRUE,,,
4/12/2021,Josiah,,,,TRUE,,
4/12/2021,Shadow/Doug?,,,TRUE,,,
4/12/2021,Satanael,,,,TRUE,,
4/12/2021,SHLIB,,,,,,
