date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/19/2021,kevinlegend,,,,TRUE,,
4/19/2021,Deity,TRUE,,,,,
4/19/2021,Matrix,TRUE,,,TRUE,,
4/19/2021,salathyne,TRUE,TRUE,,TRUE,,DestinyDay's test was going a little too well XD
4/19/2021,North Star,TRUE,,,,,
4/19/2021,Rich,TRUE,,,,,
4/19/2021,Ivory,,,TRUE,,,
4/19/2021,Connwaer,TRUE,,,,,
4/19/2021,Cesar,,,TRUE,,,
4/19/2021,Rokugan,TRUE,,TRUE,,,
4/19/2021,Timelaps,TRUE,,,,,
4/19/2021,L84RCALL,TRUE,,,,,
4/19/2021,Chrysa,,,,,,
4/19/2021,Robert1307,,,,,,
4/19/2021,sxmcs,TRUE,,,TRUE,,
4/19/2021,Zalyx,TRUE,,,TRUE,,
4/19/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon & evening raids
4/19/2021,crazydwerg,,,TRUE,,,
4/19/2021,ZenReaper,,,TRUE,,,
4/19/2021,SwordLogic,,,TRUE,,,
4/19/2021,Dragaton9,TRUE,,,,,
4/19/2021,da hoff,TRUE,,TRUE,,,
4/19/2021,Kaen,TRUE,,,,,
4/19/2021,Azule,TRUE,,,,,
4/19/2021,Ye Xiu,,,TRUE,,,
4/19/2021,Ric,,,,,,
4/19/2021,Cloud,,,,,,
4/19/2021,Cloud,,,,,,
4/19/2021,zebar,TRUE,,,,,
4/19/2021,Cat,TRUE,,,,TRUE,grabbed lvl 3 for us
4/19/2021,Ceadus,TRUE,,,,,
4/19/2021,Aria,,,,TRUE,,
4/19/2021,Tkm,TRUE,,,,,
4/19/2021,Gabriel,TRUE,,TRUE,,,
4/19/2021,Theodin,,,TRUE,,,placed D in Flanore before plans / swap announced
4/19/2021,Dorn,TRUE,,,,,
4/19/2021,Logan,,,,,,
4/19/2021,Euphoria,,,,,,
4/19/2021,Yea5h2,,,TRUE,,,
4/19/2021,Josh,,,,,,
4/19/2021,Josiah,,,,,,
4/19/2021,Doug,TRUE,,,TRUE,TRUE,"took Terrane after chat said we were waiting, then added D"
4/19/2021,Satanael,TRUE,,,,,
4/19/2021,Medix,,,,,,
4/19/2021,Xerox,,,,,,
4/19/2021,Kira,,,,,,
4/19/2021,Leaflion,,,,,,
