date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/6/2021,kevinlegend,TRUE,,,TRUE,,
5/6/2021,Deity,TRUE,,,TRUE,,
5/6/2021,Matrix,TRUE,,TRUE,TRUE,,
5/6/2021,salathyne,TRUE,,TRUE,TRUE,,
5/6/2021,North Star,TRUE,,TRUE,TRUE,,
5/6/2021,Rich,TRUE,,,TRUE,,
5/6/2021,Ivory,TRUE,,,TRUE,,
5/6/2021,Connwaer,TRUE,,TRUE,TRUE,,
5/6/2021,Rokugan,TRUE,,TRUE,TRUE,,
5/6/2021,Timelaps,TRUE,,,TRUE,,
5/6/2021,L84RCALL,TRUE,,,TRUE,,
5/6/2021,Chrysa,TRUE,,,TRUE,,
5/6/2021,Robert1307,TRUE,,,TRUE,,
5/6/2021,sxmcs,TRUE,,,TRUE,,
5/6/2021,Zalyx,TRUE,,,TRUE,,
5/6/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
5/6/2021,crazydwerg,,,TRUE,,,
5/6/2021,ZenReaper,,,TRUE,,,
5/6/2021,SwordLogic,TRUE,,,TRUE,,
5/6/2021,Dragaton9,TRUE,,,TRUE,,
5/6/2021,da hoff,TRUE,,,TRUE,,
5/6/2021,Kaen,TRUE,,TRUE,TRUE,,
5/6/2021,Azule,TRUE,,,TRUE,,
5/6/2021,Ye Xiu,TRUE,,TRUE,TRUE,,
5/6/2021,Ric,,,,TRUE,,
5/6/2021,Cloud,,,TRUE,,,
5/6/2021,Cloud,,,,,,
5/6/2021,zebar,,,TRUE,TRUE,,
5/6/2021,Cat,TRUE,,,TRUE,,
5/6/2021,Ceadus,TRUE,TRUE,,TRUE,,summon
5/6/2021,Aria,,,,,,
5/6/2021,Tkm,TRUE,,,TRUE,,
5/6/2021,Gabriel,,,TRUE,TRUE,,placed 1 unit in Ceva
5/6/2021,Theodin,,,TRUE,,,
5/6/2021,Dorn,TRUE,,,TRUE,,
5/6/2021,Yea5h2,TRUE,,TRUE,,,
5/6/2021,Josh,,,,,,
5/6/2021,Doug,TRUE,TRUE,TRUE,TRUE,,summons
5/6/2021,Satanael,TRUE,,,TRUE,,
5/6/2021,Medix,,,,,,
5/6/2021,Xerox,,,,,,
5/6/2021,Kira,,,,,,
5/6/2021,john,,,TRUE,,,placed some units in Ceva
5/6/2021,Manchurian,,,TRUE,,,
5/6/2021,Suprize,,,TRUE,,,
5/6/2021,Arturo,,,TRUE,,,
5/6/2021,Andrés,TRUE,,TRUE,TRUE,,
5/6/2021,Dead,TRUE,,,TRUE,,
5/6/2021,bumbm92,TRUE,,TRUE,,,placed D in all 3 before plans announced
5/6/2021,Livedlime,TRUE,,,TRUE,,
