date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/24/2021,kevinlegend,,,TRUE,,,
5/24/2021,Deity,TRUE,,,,TRUE,
5/24/2021,Matrix,TRUE,,,,TRUE,
5/24/2021,salathyne,TRUE,,,,TRUE,
5/24/2021,North Star,TRUE,,,,TRUE,
5/24/2021,Rich,TRUE,,,,TRUE,
5/24/2021,Ivory,TRUE,,,,TRUE,
5/24/2021,Connwaer,TRUE,,,,TRUE,
5/24/2021,Rokugan,TRUE,,,,TRUE,
5/24/2021,Timelaps,,,,,TRUE,
5/24/2021,L84RCALL,TRUE,,,,TRUE,
5/24/2021,Chrysa,TRUE,,,,TRUE,
5/24/2021,Robert1307,,,,,,
5/24/2021,Zalyx,TRUE,,,,TRUE,
5/24/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
5/24/2021,crazydwerg,,,TRUE,,,
5/24/2021,ZenReaper,,TRUE,,,,summon
5/24/2021,SwordLogic,TRUE,,,,TRUE,
5/24/2021,Dragaton9,TRUE,,,,TRUE,
5/24/2021,da hoff,TRUE,,,,TRUE,
5/24/2021,Kaen,,,,,,
5/24/2021,Azule,TRUE,TRUE,,,TRUE,summon
5/24/2021,Ye Xiu,TRUE,,,,TRUE,
5/24/2021,Ric,,,,,,
5/24/2021,Cloud,,,,,,
5/24/2021,zebar,,,TRUE,,,
5/24/2021,Cat,TRUE,,,,TRUE,
5/24/2021,Ceadus,TRUE,,,,TRUE,
5/24/2021,Aria,TRUE,,,TRUE,TRUE,
5/24/2021,Tkm,TRUE,,,,TRUE,
5/24/2021,Gabriel,,,,,,
5/24/2021,Theodin,TRUE,,,,TRUE,
5/24/2021,Dorn,TRUE,,,,TRUE,added a bunch of fodder while Satanael's 11m was battling
5/24/2021,Yea5h2,,,,,,chopping block candidate
5/24/2021,Josh,,,,,,
5/24/2021,Doug,TRUE,,,,TRUE,added platoons when already 10 in place
5/24/2021,Satanael,,,TRUE,,TRUE,
5/24/2021,Manchurian,TRUE,,,,TRUE,
5/24/2021,Suprize,,,TRUE,,,
5/24/2021,Andrés,,,,,,
5/24/2021,Dead,TRUE,,,,TRUE,
5/24/2021,bumbm92,TRUE,,,,TRUE,
5/24/2021,Livedlime,,,,,TRUE,
5/24/2021,John,,,TRUE,,,
5/24/2021,Elliot,,,TRUE,,,
5/24/2021,Ovi,,,,,,
5/24/2021,HanziChars,,,,,,chopping block candidate
5/24/2021,Medix,,,TRUE,,,
5/24/2021,SWP,,,,,,
5/24/2021,FabHairEd,,,,,,new
