date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/28/2021,kevinlegend,TRUE,,,,TRUE,
4/28/2021,Deity,TRUE,,,,TRUE,
4/28/2021,Matrix,TRUE,,,,TRUE,
4/28/2021,salathyne,,,,,TRUE,SS still broken for me :'(
4/28/2021,North Star,TRUE,,TRUE,,TRUE,
4/28/2021,Rich,TRUE,,,,TRUE,
4/28/2021,Ivory,,,,,,
4/28/2021,Connwaer,TRUE,,,,TRUE,
4/28/2021,Rokugan,TRUE,,,,TRUE,
4/28/2021,Timelaps,,TRUE,,,,afternoon SS claim
4/28/2021,L84RCALL,TRUE,TRUE,,,TRUE,summon
4/28/2021,Chrysa,TRUE,,,,TRUE,
4/28/2021,Robert1307,,TRUE,,,TRUE,afternoon raid
4/28/2021,sxmcs,TRUE,,,,TRUE,
4/28/2021,Zalyx,TRUE,,,,,
4/28/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
4/28/2021,crazydwerg,,,TRUE,,,
4/28/2021,ZenReaper,,,,,,
4/28/2021,SwordLogic,TRUE,,,,TRUE,
4/28/2021,Dragaton9,TRUE,,,,,
4/28/2021,da hoff,,TRUE,,,,afternoon SS claim
4/28/2021,Kaen,,,,,TRUE,
4/28/2021,Azule,TRUE,,,,TRUE,
4/28/2021,Ye Xiu,,TRUE,TRUE,,,summon
4/28/2021,Ric,,,,,,
4/28/2021,Cloud,TRUE,,,,,
4/28/2021,Cloud,,,,,,
4/28/2021,zebar,,,,,TRUE,
4/28/2021,Cat,TRUE,,,,TRUE,
4/28/2021,Ceadus,TRUE,,,,,
4/28/2021,Aria,TRUE,,,,TRUE,
4/28/2021,Tkm,TRUE,,,,,
4/28/2021,Gabriel,,,,,TRUE,
4/28/2021,Theodin,,,TRUE,,,
4/28/2021,Dorn,,,,,,
4/28/2021,Yea5h2,,,,,,
4/28/2021,Josh,,,,,,
4/28/2021,Josiah,,,,,,
4/28/2021,Doug,TRUE,,,,,
4/28/2021,Satanael,TRUE,,,TRUE,,
4/28/2021,Medix,,,,,,
4/28/2021,Xerox,,TRUE,,,,afternoon SS claim
4/28/2021,Kira,,,TRUE,,,
4/28/2021,AltF4Ninja,,,,,,
4/28/2021,Swanagan,,,,,,
4/28/2021,john,,,,,,
