date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/29/2021,kevinlegend,,,,,TRUE,
4/29/2021,Deity,TRUE,,,,TRUE,
4/29/2021,Matrix,TRUE,TRUE,,,TRUE,summon
4/29/2021,salathyne,TRUE,,,,TRUE,
4/29/2021,North Star,TRUE,,,,TRUE,
4/29/2021,Rich,TRUE,,,,TRUE,
4/29/2021,Ivory,,,,,,
4/29/2021,Connwaer,,,TRUE,,,
4/29/2021,Rokugan,TRUE,,,,TRUE,
4/29/2021,Timelaps,TRUE,TRUE,,,TRUE,summon
4/29/2021,L84RCALL,TRUE,,,,TRUE,
4/29/2021,Chrysa,TRUE,,,,TRUE,
4/29/2021,Robert1307,,,,,,
4/29/2021,sxmcs,TRUE,,,,TRUE,
4/29/2021,Zalyx,TRUE,,,,TRUE,
4/29/2021,Gandolf,TRUE,TRUE,TRUE,,,evening raid
4/29/2021,crazydwerg,,,,,,
4/29/2021,ZenReaper,,,,,,
4/29/2021,SwordLogic,TRUE,,,,TRUE,
4/29/2021,Dragaton9,TRUE,,,,TRUE,
4/29/2021,da hoff,TRUE,,,,,
4/29/2021,Kaen,,,,,,
4/29/2021,Azule,TRUE,TRUE,,,TRUE,baby whale summons 人◕ ‿‿ ◕人
4/29/2021,Ye Xiu,TRUE,,TRUE,,,
4/29/2021,Ric,,,,,,
4/29/2021,Cloud,TRUE,,,,,
4/29/2021,Cloud,TRUE,,,,,
4/29/2021,zebar,,,TRUE,,,
4/29/2021,Cat,TRUE,,,,TRUE,
4/29/2021,Ceadus,TRUE,,,,TRUE,
4/29/2021,Aria,TRUE,,,,TRUE,
4/29/2021,Tkm,,,,,,
4/29/2021,Gabriel,,,,,,
4/29/2021,Theodin,,,,,,
4/29/2021,Dorn,,,,,,
4/29/2021,Yea5h2,,,,,,
4/29/2021,Josh,TRUE,,,,,
4/29/2021,Doug,TRUE,,,,TRUE,
4/29/2021,Satanael,TRUE,,TRUE,,,
4/29/2021,Medix,TRUE,,,,,
4/29/2021,Xerox,,TRUE,,,,afternoon SS claim
4/29/2021,Kira,,,,,,
4/29/2021,Swanagan,,,,,,
4/29/2021,john,,,,,,
