date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/31/2021,kevinlegend,,,TRUE,,,
5/31/2021,Deity,TRUE,,TRUE,,,
5/31/2021,Matrix,TRUE,,TRUE,TRUE,,
5/31/2021,salathyne,TRUE,,TRUE,TRUE,,
5/31/2021,North Star,TRUE,TRUE,TRUE,TRUE,,it's a cruel / cruel summon
5/31/2021,Rich,TRUE,,,,,Drizz superstar!
5/31/2021,Ivory,TRUE,,TRUE,,,
5/31/2021,Connwaer,TRUE,,TRUE,,TRUE,
5/31/2021,Rokugan,TRUE,,TRUE,,,
5/31/2021,Timelaps,TRUE,,,TRUE,,
5/31/2021,L84RCALL,TRUE,,,,,
5/31/2021,Chrysa,,,TRUE,,,
5/31/2021,Robert1307,,,,,,
5/31/2021,Zalyx,TRUE,,,TRUE,,
5/31/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
5/31/2021,crazydwerg,,,TRUE,,,
5/31/2021,ZenReaper,,,,,,
5/31/2021,SwordLogic,TRUE,,,TRUE,,summons
5/31/2021,Dragaton9,TRUE,,,,,
5/31/2021,da hoff,TRUE,,,,,
5/31/2021,Kaen,TRUE,,,TRUE,,
5/31/2021,Azule,TRUE,,,TRUE,,
5/31/2021,Ye Xiu,,,,,,
5/31/2021,Ric,,,,,,
5/31/2021,Cloud,TRUE,TRUE,TRUE,,,summons
5/31/2021,zebar,TRUE,,,TRUE,,
5/31/2021,Cat,TRUE,,,TRUE,,
5/31/2021,Ceadus,TRUE,,,TRUE,,
5/31/2021,Aria,TRUE,,,,,
5/31/2021,Tkm,TRUE,,,,,
5/31/2021,Gabriel,,,,,,
5/31/2021,Theodin,TRUE,,,,,
5/31/2021,Dorn,TRUE,TRUE,,,,
5/31/2021,Yea5h2,,,,,,
5/31/2021,Josh,,,,,,
5/31/2021,Doug,TRUE,,,TRUE,,
5/31/2021,Satanael,TRUE,,,TRUE,,
5/31/2021,Manchurian,TRUE,,,,,
5/31/2021,Suprize,,,,,,
5/31/2021,Andrés,TRUE,,,TRUE,,
5/31/2021,Dead,TRUE,,,,,
5/31/2021,bumbm92,TRUE,,,TRUE,,
5/31/2021,Livedlime,TRUE,TRUE,,,,evening raid
5/31/2021,Elliot,,,TRUE,,,
5/31/2021,Ovi,,,,,,
5/31/2021,Medix,,,,,,
5/31/2021,Dionzzz,,,TRUE,,,
5/31/2021,Luna,,,,,,
