date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/30/2021,kevinlegend,,,TRUE,,,
5/30/2021,Deity,TRUE,,,,TRUE,
5/30/2021,Matrix,TRUE,,,,TRUE,
5/30/2021,salathyne,TRUE,,,,TRUE,
5/30/2021,North Star,TRUE,,,,TRUE,
5/30/2021,Rich,TRUE,,TRUE,,TRUE,
5/30/2021,Ivory,,,TRUE,,,
5/30/2021,Connwaer,TRUE,,,,TRUE,
5/30/2021,Rokugan,TRUE,,,,TRUE,
5/30/2021,Timelaps,,,,,,
5/30/2021,L84RCALL,TRUE,,,,TRUE,
5/30/2021,Chrysa,TRUE,,,,TRUE,
5/30/2021,Robert1307,TRUE,,,TRUE,,
5/30/2021,Zalyx,TRUE,,TRUE,,,
5/30/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
5/30/2021,crazydwerg,,,TRUE,,,
5/30/2021,ZenReaper,,,,,,
5/30/2021,SwordLogic,TRUE,TRUE,,,TRUE,afternoon SS claim
5/30/2021,Dragaton9,TRUE,,,,TRUE,
5/30/2021,da hoff,TRUE,,TRUE,,,
5/30/2021,Kaen,TRUE,TRUE,,,TRUE,evening raid
5/30/2021,Azule,,,,,,
5/30/2021,Ye Xiu,,,TRUE,,,
5/30/2021,Ric,,,TRUE,,,
5/30/2021,Cloud,TRUE,,,,TRUE,
5/30/2021,zebar,,,TRUE,,,
5/30/2021,Cat,,,,,,
5/30/2021,Ceadus,TRUE,,,,,
5/30/2021,Aria,TRUE,,,,TRUE,
5/30/2021,Tkm,TRUE,,,,TRUE,deployed a bunch of O at once
5/30/2021,Gabriel,,,,,TRUE,
5/30/2021,Theodin,TRUE,,,,TRUE,
5/30/2021,Dorn,,,,TRUE,TRUE,deployed a bunch of O at once
5/30/2021,Yea5h2,,,,,,
5/30/2021,Josh,,,,,,
5/30/2021,Doug,TRUE,,,TRUE,,
5/30/2021,Satanael,TRUE,,,,TRUE,
5/30/2021,Manchurian,TRUE,,,,TRUE,deployed while already a long queue
5/30/2021,Suprize,,,,,,
5/30/2021,Andrés,TRUE,,,,,
5/30/2021,Dead,TRUE,,,,,
5/30/2021,bumbm92,TRUE,,,,TRUE,
5/30/2021,Livedlime,,,,,,
5/30/2021,John,,,,,,
5/30/2021,Elliot,,,,TRUE,,
5/30/2021,Ovi,,,,,,
5/30/2021,Medix,TRUE,,,TRUE,TRUE,
5/30/2021,FabHairEd,,,,,,
5/30/2021,Dionzzz,,,TRUE,,,
5/30/2021,Luna,,,,,,
