date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/15/2021,kevinlegend,TRUE,,,TRUE,,
5/15/2021,Deity,TRUE,,,TRUE,,
5/15/2021,Matrix,TRUE,,TRUE,TRUE,,
5/15/2021,salathyne,TRUE,,TRUE,TRUE,,
5/15/2021,North Star,TRUE,,,TRUE,,
5/15/2021,Rich,TRUE,TRUE,,TRUE,,afternoon SS claim
5/15/2021,Ivory,TRUE,,TRUE,TRUE,,
5/15/2021,Connwaer,TRUE,,,TRUE,,
5/15/2021,Rokugan,TRUE,,TRUE,TRUE,,
5/15/2021,Timelaps,,,,TRUE,,
5/15/2021,L84RCALL,TRUE,,TRUE,TRUE,,
5/15/2021,Chrysa,TRUE,,,TRUE,,
5/15/2021,Robert1307,,,,TRUE,,
5/15/2021,sxmcs,TRUE,,,TRUE,,
5/15/2021,Zalyx,TRUE,,,TRUE,,
5/15/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon SS claim; evening raid
5/15/2021,crazydwerg,,,TRUE,,,
5/15/2021,ZenReaper,TRUE,,TRUE,TRUE,,
5/15/2021,SwordLogic,TRUE,,TRUE,TRUE,,
5/15/2021,Dragaton9,TRUE,,,TRUE,,
5/15/2021,da hoff,TRUE,,TRUE,,,
5/15/2021,Kaen,TRUE,,TRUE,TRUE,,
5/15/2021,Azule,TRUE,,TRUE,TRUE,,
5/15/2021,Ye Xiu,,,,,,
5/15/2021,Ric,,,,TRUE,,
5/15/2021,Cloud,TRUE,,TRUE,,,
5/15/2021,zebar,,,,,,
5/15/2021,Cat,TRUE,,,TRUE,,
5/15/2021,Ceadus,TRUE,,,TRUE,,
5/15/2021,Aria,TRUE,,,TRUE,,
5/15/2021,Tkm,TRUE,,,TRUE,,
5/15/2021,Gabriel,,,,,,
5/15/2021,Theodin,,,,,,
5/15/2021,Dorn,,,TRUE,,,
5/15/2021,Yea5h2,,,TRUE,,,
5/15/2021,Josh,TRUE,,,TRUE,,
5/15/2021,Doug,TRUE,,TRUE,TRUE,,
5/15/2021,Satanael,TRUE,TRUE,,,,evening raid
5/15/2021,Kira,,,,,,
5/15/2021,Manchurian,TRUE,,,TRUE,TRUE,placed some platoons in Atris/FoxHole
5/15/2021,Suprize,,,TRUE,,,
5/15/2021,Arturo,,,TRUE,,,
5/15/2021,Andrés,,TRUE,,,,evening raid
5/15/2021,Dead,TRUE,,,TRUE,,
5/15/2021,bumbm92,TRUE,,TRUE,,,
5/15/2021,Livedlime,TRUE,,TRUE,TRUE,,
5/15/2021,John,,,TRUE,,,
5/15/2021,Elliot,,,,,,
5/15/2021,Ovi,,,TRUE,,,
