date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/21/2021,kevinlegend,,,,,TRUE,
5/21/2021,Deity,TRUE,,,,TRUE,
5/21/2021,Matrix,TRUE,,,TRUE,TRUE,
5/21/2021,salathyne,TRUE,,,,TRUE,
5/21/2021,North Star,TRUE,,,TRUE,TRUE,
5/21/2021,Rich,TRUE,,,,TRUE,
5/21/2021,Ivory,TRUE,,,,TRUE,
5/21/2021,Connwaer,TRUE,,,,TRUE,
5/21/2021,Rokugan,TRUE,,,,TRUE,
5/21/2021,Timelaps,TRUE,,,,TRUE,
5/21/2021,L84RCALL,TRUE,,,,TRUE,
5/21/2021,Chrysa,TRUE,,,,TRUE,
5/21/2021,Robert1307,,,,,,
5/21/2021,Zalyx,TRUE,,,,TRUE,
5/21/2021,Gandolf,TRUE,TRUE,,,TRUE,afternoon and evening raids; first time placing O!
5/21/2021,crazydwerg,,,,,,
5/21/2021,ZenReaper,,,,,,
5/21/2021,SwordLogic,TRUE,,,,TRUE,
5/21/2021,Dragaton9,TRUE,,,,TRUE,
5/21/2021,da hoff,,,,,,
5/21/2021,Kaen,TRUE,,,,,claimed right at end of war
5/21/2021,Azule,,,,,TRUE,
5/21/2021,Ye Xiu,TRUE,,,,TRUE,
5/21/2021,Ric,TRUE,,,,TRUE,
5/21/2021,Cloud,TRUE,,,TRUE,,
5/21/2021,zebar,,,,,,
5/21/2021,Cat,TRUE,,,,TRUE,
5/21/2021,Ceadus,TRUE,,,,TRUE,
5/21/2021,Aria,,,,TRUE,TRUE,
5/21/2021,Tkm,TRUE,,,,TRUE,added a bunch when already a lot on O
5/21/2021,Gabriel,TRUE,,,,TRUE,
5/21/2021,Theodin,TRUE,,,TRUE,TRUE,
5/21/2021,Dorn,TRUE,,,,TRUE,added a bunch when already a lot on O
5/21/2021,Yea5h2,,,,,,
5/21/2021,Josh,,,,,,
5/21/2021,Doug,TRUE,,,,TRUE,
5/21/2021,Satanael,,,,,,
5/21/2021,Manchurian,TRUE,,,,TRUE,added a bunch when already a lot on O
5/21/2021,Suprize,,,,,,
5/21/2021,Andrés,,,,,,
5/21/2021,Dead,TRUE,,,TRUE,TRUE,
5/21/2021,bumbm92,TRUE,,,,TRUE,added a bunch when already a lot on O
5/21/2021,Livedlime,TRUE,TRUE,,TRUE,TRUE,evening raid
5/21/2021,John,,,,,,
5/21/2021,Elliot,,,,,,
5/21/2021,Ovi,,,,,TRUE,
5/21/2021,PharaohV,,,,,,
5/21/2021,HanziChars,,,,,,
5/21/2021,Medix,TRUE,,,,,rejoin
