date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/16/2021,kevinlegend,TRUE,,,,TRUE,
5/16/2021,Deity,TRUE,,,,TRUE,
5/16/2021,Matrix,TRUE,,,,TRUE,
5/16/2021,salathyne,TRUE,,,,TRUE,
5/16/2021,North Star,TRUE,,,,TRUE,
5/16/2021,Rich,,,,,TRUE,
5/16/2021,Ivory,TRUE,,,,TRUE,
5/16/2021,Connwaer,TRUE,,,,TRUE,
5/16/2021,Rokugan,TRUE,,,,TRUE,
5/16/2021,Timelaps,,,,,,
5/16/2021,L84RCALL,TRUE,,,,TRUE,
5/16/2021,Chrysa,TRUE,,,,TRUE,
5/16/2021,Robert1307,TRUE,,,TRUE,TRUE,
5/16/2021,sxmcs,TRUE,,,,TRUE,
5/16/2021,Zalyx,TRUE,,,TRUE,TRUE,
5/16/2021,Gandolf,TRUE,TRUE,,,,evening raid
5/16/2021,crazydwerg,,,TRUE,,,
5/16/2021,ZenReaper,,,,,,
5/16/2021,SwordLogic,TRUE,,,,,
5/16/2021,Dragaton9,TRUE,,,,TRUE,
5/16/2021,da hoff,TRUE,,,,,claimed right at end of war
5/16/2021,Kaen,,,,,TRUE,
5/16/2021,Azule,,,,,,
5/16/2021,Ye Xiu,,,,,,
5/16/2021,Ric,,,,,,
5/16/2021,Cloud,TRUE,,,,TRUE,
5/16/2021,zebar,TRUE,,TRUE,,,
5/16/2021,Cat,TRUE,,,,TRUE,
5/16/2021,Ceadus,TRUE,,,,TRUE,
5/16/2021,Aria,TRUE,,,,TRUE,
5/16/2021,Tkm,TRUE,,,,,
5/16/2021,Gabriel,,,,,,
5/16/2021,Theodin,,,,,,
5/16/2021,Dorn,,,TRUE,,,
5/16/2021,Yea5h2,,,,,,
5/16/2021,Josh,,,,,,
5/16/2021,Doug,TRUE,,,TRUE,TRUE,
5/16/2021,Satanael,,,,,,
5/16/2021,Kira,,,,,,
5/16/2021,Manchurian,TRUE,,,,TRUE,deployed a lot of O at once
5/16/2021,Suprize,,,,,,
5/16/2021,Arturo,,,,,,
5/16/2021,Andrés,TRUE,,,,TRUE,
5/16/2021,Dead,TRUE,,,,TRUE,
5/16/2021,bumbm92,TRUE,,,,TRUE,
5/16/2021,Livedlime,,,,,,
5/16/2021,John,,,TRUE,,,
5/16/2021,Elliot,,,,,,
5/16/2021,Ovi,,TRUE,TRUE,,,summons
