date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/23/2021,kevinlegend,,,,,TRUE,
5/23/2021,Deity,TRUE,,,,TRUE,
5/23/2021,Matrix,TRUE,,,,TRUE,
5/23/2021,salathyne,TRUE,,,,TRUE,
5/23/2021,North Star,TRUE,,,,TRUE,
5/23/2021,Rich,TRUE,,,,TRUE,"daaaymn, that's gotta be a record for late SS claim :o"
5/23/2021,Ivory,TRUE,,,,TRUE,
5/23/2021,Connwaer,TRUE,,TRUE,,TRUE,
5/23/2021,Rokugan,TRUE,,TRUE,,,
5/23/2021,Timelaps,,,,,,
5/23/2021,L84RCALL,TRUE,,,,TRUE,
5/23/2021,Chrysa,TRUE,,,,TRUE,
5/23/2021,Robert1307,TRUE,,,,TRUE,
5/23/2021,Zalyx,TRUE,,,,TRUE,
5/23/2021,Gandolf,TRUE,TRUE,,,,evening raid
5/23/2021,crazydwerg,,,TRUE,,,
5/23/2021,ZenReaper,TRUE,TRUE,TRUE,,,summon
5/23/2021,SwordLogic,,,,,,
5/23/2021,Dragaton9,TRUE,,,,TRUE,
5/23/2021,da hoff,,,,,,
5/23/2021,Kaen,TRUE,,,,TRUE,
5/23/2021,Azule,,,,,,
5/23/2021,Ye Xiu,,,,,,
5/23/2021,Ric,,,,,TRUE,
5/23/2021,Cloud,TRUE,,,,TRUE,
5/23/2021,zebar,TRUE,TRUE,TRUE,,,afternoon SS claim
5/23/2021,Cat,TRUE,,,,TRUE,
5/23/2021,Ceadus,TRUE,,,,TRUE,
5/23/2021,Aria,TRUE,,,,TRUE,
5/23/2021,Tkm,TRUE,,,,TRUE,
5/23/2021,Gabriel,,,,,,
5/23/2021,Theodin,TRUE,TRUE,,,TRUE,afternoon raid
5/23/2021,Dorn,,,,,,
5/23/2021,Yea5h2,,TRUE,TRUE,,,chopping block candidate; claimed yesterday's SS @ 2:21pm EDT
5/23/2021,Josh,TRUE,,,,TRUE,
5/23/2021,Doug,TRUE,,,,TRUE,
5/23/2021,Satanael,,,TRUE,,,
5/23/2021,Manchurian,TRUE,,,,TRUE,
5/23/2021,Suprize,,,,,,recently warned
5/23/2021,Andrés,TRUE,,,,TRUE,
5/23/2021,Dead,TRUE,,,,TRUE,
5/23/2021,bumbm92,TRUE,,,,TRUE,added fodder when already a lot of O in place
5/23/2021,Livedlime,TRUE,,,,TRUE,
5/23/2021,John,,TRUE,TRUE,,,chopping block candidate; claimed yesterday's SS @ 2:18pm EDT
5/23/2021,Elliot,,,TRUE,,,chopping block candidate; claimed yesterday's SS @ 7:32am EDT
5/23/2021,Ovi,,,,,,
5/23/2021,PharaohV,,,,,,chopping block candidate
5/23/2021,HanziChars,,,,,,chopping block candidate
5/23/2021,Medix,TRUE,,TRUE,,,chopping block candidate; claimed yesterday's SS @ 2:21am EDT
5/23/2021,SWP,,,,,,
