date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/2/2021,kevinlegend,TRUE,TRUE,,TRUE,,afternoon raid
5/2/2021,Deity,TRUE,,,TRUE,,
5/2/2021,Matrix,TRUE,,,TRUE,TRUE,
5/2/2021,salathyne,TRUE,,,TRUE,,
5/2/2021,North Star,TRUE,,,TRUE,,
5/2/2021,Rich,TRUE,TRUE,,TRUE,,summon
5/2/2021,Ivory,,,TRUE,,,
5/2/2021,Connwaer,TRUE,,,TRUE,,
5/2/2021,Rokugan,TRUE,,,,,
5/2/2021,Timelaps,,,,,,
5/2/2021,L84RCALL,TRUE,,,,,wished us good night like a gentleman
5/2/2021,Chrysa,TRUE,TRUE,,TRUE,,summon
5/2/2021,Robert1307,TRUE,,,TRUE,,
5/2/2021,sxmcs,TRUE,,,TRUE,,
5/2/2021,Zalyx,TRUE,,,,,
5/2/2021,Gandolf,,TRUE,TRUE,,,afternoon and evening raids
5/2/2021,crazydwerg,,,TRUE,,,
5/2/2021,ZenReaper,,,,,,
5/2/2021,SwordLogic,TRUE,,,,,
5/2/2021,Dragaton9,TRUE,,,,,
5/2/2021,da hoff,TRUE,,TRUE,,,
5/2/2021,Kaen,TRUE,,,TRUE,,
5/2/2021,Azule,TRUE,TRUE,,TRUE,,summon
5/2/2021,Ye Xiu,TRUE,,TRUE,,,
5/2/2021,Ric,,,,,,
5/2/2021,Cloud,,,,,,
5/2/2021,Cloud,,,,,,
5/2/2021,zebar,TRUE,,,TRUE,,
5/2/2021,Cat,,,,,,
5/2/2021,Ceadus,TRUE,,,TRUE,,
5/2/2021,Aria,TRUE,,,TRUE,,
5/2/2021,Tkm,,,,TRUE,,
5/2/2021,Gabriel,,,,TRUE,,
5/2/2021,Theodin,,,,,,
5/2/2021,Dorn,,,,,,
5/2/2021,Yea5h2,,,,,,
5/2/2021,Josh,,,,,,
5/2/2021,Doug,TRUE,,,TRUE,,
5/2/2021,Satanael,TRUE,,,,,
5/2/2021,Medix,TRUE,,,,,
5/2/2021,Xerox,,,,,,
5/2/2021,Kira,TRUE,,TRUE,,,
5/2/2021,Swanagan,,,,TRUE,TRUE,attacked FoxHole's Iris (2nd day in a row)
5/2/2021,john,,,TRUE,,,
5/2/2021,Manchurian,,,,,,new
5/2/2021,Suprize,,,,,,new
5/2/2021,Arturo,,,,,,
