date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/29/2021,kevinlegend,,,,,,
5/29/2021,Deity,TRUE,,,TRUE,,
5/29/2021,Matrix,TRUE,,TRUE,TRUE,,
5/29/2021,salathyne,TRUE,,TRUE,TRUE,,
5/29/2021,North Star,TRUE,,,TRUE,,
5/29/2021,Rich,,,,,,
5/29/2021,Ivory,TRUE,,TRUE,TRUE,,
5/29/2021,Connwaer,TRUE,,TRUE,TRUE,,
5/29/2021,Rokugan,TRUE,,TRUE,,,
5/29/2021,Timelaps,TRUE,,TRUE,TRUE,,
5/29/2021,L84RCALL,TRUE,,,TRUE,,
5/29/2021,Chrysa,TRUE,,,TRUE,,
5/29/2021,Robert1307,TRUE,,,TRUE,,
5/29/2021,Zalyx,TRUE,,,TRUE,,
5/29/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
5/29/2021,crazydwerg,,,,,,
5/29/2021,ZenReaper,,,TRUE,,,
5/29/2021,SwordLogic,,,TRUE,,,
5/29/2021,Dragaton9,TRUE,,,TRUE,,
5/29/2021,da hoff,TRUE,,TRUE,,,
5/29/2021,Kaen,TRUE,,,TRUE,,
5/29/2021,Azule,TRUE,,,TRUE,,
5/29/2021,Ye Xiu,,,,,,
5/29/2021,Ric,,,,,,
5/29/2021,Cloud,TRUE,,TRUE,TRUE,,
5/29/2021,zebar,,,TRUE,,,
5/29/2021,Cat,,,,,,
5/29/2021,Ceadus,TRUE,,,TRUE,,
5/29/2021,Aria,TRUE,,TRUE,TRUE,,
5/29/2021,Tkm,TRUE,,TRUE,,,
5/29/2021,Gabriel,,,TRUE,TRUE,,
5/29/2021,Theodin,TRUE,TRUE,,,,evening raid
5/29/2021,Dorn,TRUE,TRUE,TRUE,,,
5/29/2021,Yea5h2,,TRUE,TRUE,,,summon
5/29/2021,Josh,,,,,,
5/29/2021,Doug,TRUE,,,TRUE,,
5/29/2021,Satanael,,,,,,
5/29/2021,Manchurian,TRUE,,,TRUE,,
5/29/2021,Suprize,,,,,,
5/29/2021,Andrés,,,,,,
5/29/2021,Dead,TRUE,TRUE,TRUE,TRUE,,evening raid
5/29/2021,bumbm92,TRUE,,,TRUE,,
5/29/2021,Livedlime,TRUE,,,TRUE,,
5/29/2021,John,,,,,,
5/29/2021,Elliot,,,,,,
5/29/2021,Ovi,,,,,,
5/29/2021,Medix,,,,TRUE,,
5/29/2021,FabHairEd,,,,,,
5/29/2021,Dionzzz,,,TRUE,,,
5/29/2021,Luna,TRUE,,,,,new
