date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/8/2021,kevinlegend,TRUE,TRUE,,TRUE,,evening raid
5/8/2021,Deity,TRUE,,,TRUE,TRUE,
5/8/2021,Matrix,TRUE,,TRUE,TRUE,,
5/8/2021,salathyne,TRUE,,TRUE,TRUE,,
5/8/2021,North Star,TRUE,,TRUE,TRUE,,
5/8/2021,Rich,,,,TRUE,,
5/8/2021,Ivory,,,,TRUE,,
5/8/2021,Connwaer,TRUE,,TRUE,TRUE,TRUE,
5/8/2021,Rokugan,TRUE,,TRUE,TRUE,,
5/8/2021,Timelaps,TRUE,,,TRUE,,
5/8/2021,L84RCALL,TRUE,,TRUE,TRUE,,
5/8/2021,Chrysa,TRUE,,,TRUE,,
5/8/2021,Robert1307,,TRUE,,,,afternoon raid
5/8/2021,sxmcs,TRUE,,,TRUE,,
5/8/2021,Zalyx,TRUE,,,TRUE,,
5/8/2021,Gandolf,,TRUE,,,,evening raid
5/8/2021,crazydwerg,,,TRUE,,,
5/8/2021,ZenReaper,,,TRUE,,,
5/8/2021,SwordLogic,TRUE,,,TRUE,,
5/8/2021,Dragaton9,TRUE,,,TRUE,,
5/8/2021,da hoff,TRUE,,TRUE,TRUE,,
5/8/2021,Kaen,TRUE,,,TRUE,,
5/8/2021,Azule,TRUE,,,TRUE,,
5/8/2021,Ye Xiu,TRUE,,,,,
5/8/2021,Ric,,,,TRUE,TRUE,
5/8/2021,Cloud,TRUE,TRUE,TRUE,TRUE,TRUE,evening raid
5/8/2021,Cloud,,,,,,
5/8/2021,zebar,,TRUE,TRUE,,,afternoon raid
5/8/2021,Cat,,,,,,
5/8/2021,Ceadus,TRUE,,,TRUE,,
5/8/2021,Aria,TRUE,,,TRUE,,
5/8/2021,Tkm,TRUE,,,TRUE,,
5/8/2021,Gabriel,,,TRUE,,,
5/8/2021,Theodin,,,,,,
5/8/2021,Dorn,TRUE,,,TRUE,,
5/8/2021,Yea5h2,,,,,,
5/8/2021,Josh,,,,TRUE,,
5/8/2021,Doug,,,TRUE,,,
5/8/2021,Satanael,,,TRUE,,,
5/8/2021,Medix,,,,,,
5/8/2021,Kira,,,,,,
5/8/2021,john,,,,,,
5/8/2021,Manchurian,,,TRUE,,TRUE,attacked Fuego at Atris
5/8/2021,Suprize,,,TRUE,,,
5/8/2021,Arturo,,,,,,
5/8/2021,Andrés,TRUE,,TRUE,TRUE,,
5/8/2021,Dead,TRUE,,,TRUE,TRUE,
5/8/2021,bumbm92,TRUE,,TRUE,TRUE,,
5/8/2021,Livedlime,TRUE,TRUE,TRUE,TRUE,,evening raid
5/8/2021,John,TRUE,,,,,new
