date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/21/2021,kevinlegend,TRUE,,,TRUE,,
4/21/2021,Deity,TRUE,,,TRUE,,
4/21/2021,Matrix,TRUE,,,TRUE,,
4/21/2021,salathyne,TRUE,,,TRUE,,
4/21/2021,North Star,TRUE,,,TRUE,,
4/21/2021,Rich,TRUE,,,TRUE,,
4/21/2021,Ivory,TRUE,,TRUE,TRUE,,
4/21/2021,Connwaer,TRUE,,,TRUE,,
4/21/2021,Cesar,,,,,,
4/21/2021,Rokugan,TRUE,,TRUE,,,
4/21/2021,Timelaps,,,,,,
4/21/2021,L84RCALL,,,TRUE,TRUE,,
4/21/2021,Chrysa,,,,,,
4/21/2021,Robert1307,TRUE,,,TRUE,,
4/21/2021,sxmcs,TRUE,,TRUE,TRUE,,
4/21/2021,Zalyx,TRUE,,,TRUE,,
4/21/2021,Gandolf,TRUE,TRUE,,,,afternoon raid
4/21/2021,crazydwerg,,,TRUE,,,
4/21/2021,ZenReaper,,,TRUE,,,
4/21/2021,SwordLogic,TRUE,,,TRUE,,
4/21/2021,Dragaton9,TRUE,,,TRUE,,
4/21/2021,da hoff,TRUE,,TRUE,TRUE,,
4/21/2021,Kaen,TRUE,,TRUE,TRUE,,
4/21/2021,Azule,TRUE,,,TRUE,,
4/21/2021,Ye Xiu,,,,,,
4/21/2021,Ric,TRUE,,,TRUE,,
4/21/2021,Cloud,TRUE,,,TRUE,,
4/21/2021,Cloud,,,TRUE,,,
4/21/2021,zebar,,,,,,
4/21/2021,Cat,TRUE,,,TRUE,,
4/21/2021,Ceadus,TRUE,,TRUE,TRUE,,
4/21/2021,Aria,TRUE,,,TRUE,,
4/21/2021,Tkm,,,TRUE,,,
4/21/2021,Gabriel,TRUE,,TRUE,TRUE,,
4/21/2021,Theodin,,,TRUE,,,"placed D in Terrane, not Lumains"
4/21/2021,Dorn,TRUE,,,TRUE,,
4/21/2021,Logan,,,,,,
4/21/2021,Euphoria,,,,,,
4/21/2021,Yea5h2,,,,,,
4/21/2021,Josh,,,,,,
4/21/2021,Josiah,,,TRUE,,,
4/21/2021,Doug,,,,TRUE,,
4/21/2021,Satanael,TRUE,,TRUE,TRUE,,
4/21/2021,Medix,,,TRUE,TRUE,,
4/21/2021,Xerox,,,,,,
4/21/2021,Kira,,,TRUE,,,
4/21/2021,Leaflion,,,,,,
