date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
4/25/2021,kevinlegend,TRUE,TRUE,,TRUE,,afternoon raid
4/25/2021,Deity,TRUE,TRUE,,TRUE,,afternoon raid
4/25/2021,Matrix,TRUE,,,TRUE,,
4/25/2021,salathyne,TRUE,,,TRUE,,
4/25/2021,North Star,TRUE,,,TRUE,TRUE,
4/25/2021,Rich,TRUE,,,,,
4/25/2021,Ivory,TRUE,,TRUE,TRUE,,
4/25/2021,Connwaer,TRUE,,,TRUE,,
4/25/2021,Rokugan,TRUE,,TRUE,TRUE,,
4/25/2021,Timelaps,TRUE,,,TRUE,,
4/25/2021,L84RCALL,TRUE,,TRUE,TRUE,,
4/25/2021,Chrysa,TRUE,,,TRUE,TRUE,
4/25/2021,Robert1307,,TRUE,,,,afternoon raid
4/25/2021,sxmcs,TRUE,,,TRUE,TRUE,
4/25/2021,Zalyx,TRUE,,,TRUE,,
4/25/2021,Gandolf,TRUE,TRUE,TRUE,,,afternoon and evening raids
4/25/2021,crazydwerg,,,TRUE,,,
4/25/2021,ZenReaper,,,TRUE,,,
4/25/2021,SwordLogic,TRUE,,TRUE,TRUE,,
4/25/2021,Dragaton9,TRUE,,,TRUE,,
4/25/2021,da hoff,,,,,,
4/25/2021,Kaen,TRUE,,TRUE,TRUE,TRUE,
4/25/2021,Azule,TRUE,,,TRUE,,
4/25/2021,Ye Xiu,,,TRUE,,,
4/25/2021,Ric,,TRUE,,TRUE,,evening raid
4/25/2021,Cloud,,,TRUE,,,
4/25/2021,Cloud,TRUE,,,TRUE,,
4/25/2021,zebar,TRUE,,TRUE,,,
4/25/2021,Cat,TRUE,,,TRUE,TRUE,
4/25/2021,Ceadus,TRUE,,,,,
4/25/2021,Aria,TRUE,,,TRUE,,
4/25/2021,Tkm,,,,,,
4/25/2021,Gabriel,,,,TRUE,TRUE,
4/25/2021,Theodin,TRUE,,,TRUE,,
4/25/2021,Dorn,,TRUE,TRUE,,,summon
4/25/2021,Yea5h2,,,,,,
4/25/2021,Josh,TRUE,,,,,
4/25/2021,Josiah,,,,,,
4/25/2021,Doug,TRUE,,,TRUE,,
4/25/2021,Satanael,,,TRUE,,,
4/25/2021,Medix,,,TRUE,,,
4/25/2021,Xerox,,,,,,
4/25/2021,Kira,,,TRUE,,,
4/25/2021,Leaflion,,,,,,
4/25/2021,AltF4Ninja,,,,,,
4/25/2021,Swanagan,,,,,,
