date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/1/2021,kevinlegend,TRUE,,,,TRUE,
5/1/2021,Deity,TRUE,,,,TRUE,
5/1/2021,Matrix,TRUE,,,,TRUE,
5/1/2021,salathyne,TRUE,,,,TRUE,
5/1/2021,North Star,TRUE,,,,TRUE,
5/1/2021,Rich,,,,,TRUE,
5/1/2021,Ivory,TRUE,,,,TRUE,
5/1/2021,Connwaer,TRUE,,,,TRUE,
5/1/2021,Rokugan,TRUE,,,,TRUE,
5/1/2021,Timelaps,TRUE,,,,TRUE,
5/1/2021,L84RCALL,,,,,TRUE,
5/1/2021,Chrysa,TRUE,,,,TRUE,
5/1/2021,Robert1307,,,,,,
5/1/2021,sxmcs,TRUE,,,,TRUE,
5/1/2021,Zalyx,TRUE,,,,,
5/1/2021,Gandolf,TRUE,,,TRUE,,
5/1/2021,crazydwerg,,,TRUE,,,
5/1/2021,ZenReaper,,,,,,
5/1/2021,SwordLogic,TRUE,,,,TRUE,
5/1/2021,Dragaton9,TRUE,,,,TRUE,
5/1/2021,da hoff,,,TRUE,,,
5/1/2021,Kaen,TRUE,,,,,
5/1/2021,Azule,TRUE,,,,TRUE,
5/1/2021,Ye Xiu,,TRUE,,,,afternoon SS claim
5/1/2021,Ric,TRUE,,,,TRUE,
5/1/2021,Cloud,,,,,,
5/1/2021,Cloud,,,,,,
5/1/2021,zebar,,,,,,
5/1/2021,Cat,,,,,,
5/1/2021,Ceadus,,,,,,
5/1/2021,Aria,,,,,,
5/1/2021,Tkm,TRUE,,,,TRUE,
5/1/2021,Gabriel,,,,,,
5/1/2021,Theodin,,TRUE,,,,afternoon raid
5/1/2021,Dorn,,,TRUE,,,
5/1/2021,Yea5h2,TRUE,,,TRUE,,
5/1/2021,Josh,,,,,,
5/1/2021,Josiah,,TRUE,,,,"afternoon SS claim, summon"
5/1/2021,Doug,TRUE,,,,TRUE,
5/1/2021,Satanael,,,,,,
5/1/2021,Medix,,,,,,
5/1/2021,Xerox,,,,,,
5/1/2021,Kira,,,,,,
5/1/2021,Swanagan,,,,,TRUE,placed some fodder late; hit FoxHole
5/1/2021,john,,,,,,
